City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
North Bend,43.4065,-124.2243,42.8,87,90,9.22,US,1613798030
Tiksi,71.6872,128.8694,-29.81,85,98,2.55,RU,1613797862
East London,-33.0153,27.9116,69.8,88,40,12.66,ZA,1613798037
São Filipe,14.8961,-24.4956,69.28,75,11,8.52,CV,1613798041
Jamestown,42.097,-79.2353,18.0,79,90,14.97,US,1613797578
Provideniya,64.3833,-173.3,-2.2,71,0,11.18,RU,1613797819
Lucapa,-8.4192,20.7447,65.48,99,100,3.04,AO,1613798042
Puerto Ayora,-0.7393,-90.3518,75.99,94,75,1.01,EC,1613797738
Nikolskoye,59.7035,30.7861,14.0,79,40,4.47,RU,1613797683
Albany,42.6001,-73.9662,26.6,74,75,10.36,US,1613797775
Ushuaia,-54.8,-68.3,48.2,81,90,3.44,AR,1613797681
Kapaa,22.0752,-159.319,73.4,83,75,12.66,US,1613797723
Rikitea,-23.1203,-134.9692,79.56,69,91,8.88,PF,1613797689
Longyearbyen,78.2186,15.6401,21.2,63,20,12.66,SJ,1613797936
Atuona,-9.8,-139.0333,79.45,79,5,14.85,PF,1613797715
Aksu,41.1231,80.2644,48.36,43,39,2.51,CN,1613798043
Lunino,53.5918,45.2271,-10.1,90,84,3.36,RU,1613798045
Haines Junction,60.7522,-137.5108,5.0,66,98,12.66,CA,1613798054
La Cumbre,-30.982,-64.4914,66.99,82,75,2.3,AR,1613798054
Sandwick,60.0,-1.25,46.4,87,100,11.5,GB,1613798058
Cherskiy,68.75,161.3,-30.21,84,0,2.48,RU,1613798059
Vila Franca do Campo,37.7167,-25.4333,48.2,71,40,13.8,PT,1613798066
Butaritari,3.0707,172.7902,80.98,81,90,14.7,KI,1613797915
Hadgāon,19.5,77.6667,79.56,35,12,10.92,IN,1613798069
Ostrovnoy,68.0531,39.5131,-3.82,90,44,4.76,RU,1613798070
Faanui,-16.4833,-151.75,81.81,74,54,13.47,PF,1613797782
Shaowu,27.3409,117.4831,71.06,32,0,0.6,CN,1613798073
Bluff,-46.6,168.3333,69.01,63,0,10.0,NZ,1613797702
Saldanha,-33.0117,17.9442,51.8,82,5,2.3,ZA,1613798073
Kaitangata,-46.2817,169.8464,64.99,77,0,5.01,NZ,1613798077
Ola,59.5833,151.2833,5.85,85,90,12.19,RU,1613798077
Kuching,1.55,110.3333,80.6,89,40,3.44,MY,1613798077
Ouallam,14.3188,2.0866,63.27,23,0,10.11,NE,1613798080
Mataura,-46.1927,168.8643,69.01,63,0,10.0,NZ,1613797676
Krasnosel'kup,65.7,82.4667,-23.87,84,100,0.85,RU,1613798081
Lagoa,39.05,-27.9833,51.85,65,55,25.7,PT,1613798081
Ojinaga,29.5667,-104.4167,44.6,76,1,5.75,MX,1613797840
Hobart,-42.8794,147.3294,73.0,72,90,17.27,AU,1613797547
Torbay,47.6666,-52.7314,24.01,68,90,6.91,CA,1613798088
Labuhan,-6.8844,112.2051,84.54,72,85,13.53,ID,1613798088
Luanda,-8.8368,13.2343,78.8,78,75,3.44,AO,1613797798
Bonavista,48.6499,-53.1147,24.01,85,93,4.61,CA,1613798088
Omboué,-1.5746,9.2618,77.47,85,100,1.92,GA,1613798089
Grand-Lahou,5.1367,-5.0242,77.85,88,81,5.41,CI,1613798093
Kahului,20.8947,-156.47,73.4,73,40,12.66,US,1613798093
Tuktoyaktuk,69.4541,-133.0374,-31.0,75,1,10.36,CA,1613798097
Te Anau,-45.4167,167.7167,71.89,34,0,6.69,NZ,1613798104
Tasiilaq,65.6145,-37.6368,30.2,93,90,4.61,GL,1613797778
Grand Gaube,-20.0064,57.6608,84.99,74,61,7.0,MU,1613797677
Saint-Louis,16.3333,-15.0,68.86,24,0,9.98,SN,1613798113
George Town,5.4112,100.3354,91.4,38,20,14.97,MY,1613797644
Portobelo,9.55,-79.65,77.0,99,82,8.39,PA,1613798117
São João da Barra,-21.6403,-41.0511,74.97,93,75,2.59,BR,1613798123
Faya,18.3851,42.4509,55.4,94,75,10.36,SA,1613798124
Qaanaaq,77.484,-69.3632,-29.9,78,87,1.81,GL,1613797735
Dunedin,-45.8742,170.5036,64.99,70,0,11.01,NZ,1613798063
Mirante do Paranapanema,-22.2919,-51.9064,68.0,64,0,2.48,BR,1613798127
Wanning,18.8003,110.3967,72.64,56,41,6.11,CN,1613798127
New Norfolk,-42.7826,147.0587,73.0,52,36,4.0,AU,1613797670
Kaeo,-35.1,173.7833,70.14,58,0,4.65,NZ,1613798128
Hilo,19.7297,-155.09,75.2,73,40,3.44,US,1613797980
Champerico,14.3,-91.9167,64.99,95,29,3.62,GT,1613798128
Jos,9.9167,8.9,52.48,40,27,6.13,NG,1613798028
Cape Town,-33.9258,18.4232,64.4,63,40,3.44,ZA,1613797693
Bredasdorp,-34.5322,20.0403,62.6,72,68,4.61,ZA,1613797826
Urengoy,65.9667,78.3667,-25.53,84,100,3.29,RU,1613798135
Norman Wells,65.282,-126.8329,-14.8,70,90,16.11,CA,1613798139
Lebu,-37.6167,-73.65,53.31,78,0,14.76,CL,1613797852
Asău,46.4333,26.4,26.01,63,100,1.88,RO,1613798146
Hermanus,-34.4187,19.2345,60.01,92,82,9.42,ZA,1613797894
Los Llanos de Aridane,28.6585,-17.9182,60.8,72,0,3.44,ES,1613798146
Iralaya,15.0,-83.2333,76.71,82,0,5.55,HN,1613798147
Dikson,73.5069,80.5464,-17.5,87,98,8.99,RU,1613797914
Bilibino,68.0546,166.4372,-18.51,64,0,0.63,RU,1613798147
Castro,-24.7911,-50.0119,59.65,96,0,5.1,BR,1613797815
Spirit River,55.7833,-118.8361,34.0,69,100,10.36,CA,1613798147
Busselton,-33.65,115.3333,78.01,49,0,5.01,AU,1613797769
Severo-Kuril'sk,50.6789,156.125,28.69,95,98,19.69,RU,1613798148
Saint-Philippe,-21.3585,55.7679,86.0,66,75,3.44,RE,1613797766
San Quintín,30.4833,-115.95,57.85,73,0,9.53,MX,1613798153
Broome,42.2506,-75.833,19.4,79,90,9.22,US,1613798160
Puerto Peñasco,31.3167,-113.5333,62.01,49,0,5.01,MX,1613798167
Porto San Giorgio,43.1827,13.7934,46.0,10,56,5.08,IT,1613798168
Okhotsk,59.3833,143.3,8.69,87,81,14.12,RU,1613797861
Ribeira Grande,38.5167,-28.7,53.02,63,78,24.14,PT,1613797725
Vaini,-21.2,-175.2,80.6,65,75,11.5,TO,1613797677
Mayumba,-3.432,10.6554,77.0,79,99,5.39,GA,1613798168
Kumul,42.8,93.45,47.82,43,100,1.7,CN,1613798175
Barrow,71.2906,-156.7887,-5.8,77,90,12.66,US,1613797529
Srīvardhan,18.0333,73.0167,84.69,41,55,5.46,IN,1613798182
Saskylakh,71.9167,114.0833,-27.15,84,87,7.07,RU,1613798191
Komyshuvakha,47.7176,35.5288,5.0,85,18,1.1,UA,1613798198
Yellowknife,62.456,-114.3525,5.0,85,90,9.22,CA,1613797539
Port Alfred,-33.5906,26.891,70.0,93,32,5.99,ZA,1613797888
Punta Arenas,-53.15,-70.9167,50.0,71,90,10.36,CL,1613797765
Vardø,70.3705,31.1107,16.77,91,9,12.3,NO,1613798199
Semaria,24.3073,79.9718,78.15,18,0,4.79,IN,1613798206
Portsmouth,50.799,-1.0913,52.0,89,100,1.99,GB,1613798202
Magán,39.9683,-3.931,51.01,63,45,3.0,ES,1613798206
Tommot,58.9564,126.2925,-7.78,85,100,1.34,RU,1613798213
Calabozo,8.9242,-67.4293,73.96,67,8,8.37,VE,1613798213
La Santisima Trinidad,-14.8333,-64.9,74.41,94,100,1.97,BO,1613798221
George,-33.963,22.4617,64.4,82,40,6.91,ZA,1613798221
Smithers,54.7804,-127.1743,33.8,64,90,12.66,CA,1613798225
Airai,-8.9266,125.4092,70.48,91,100,4.65,TL,1613798225
Cidreira,-30.1811,-50.2056,68.38,89,2,4.14,BR,1613798143
Alvdal,62.1077,10.6307,30.2,80,75,8.05,NO,1613798231
Aksarka,66.5606,67.7975,-30.01,83,99,9.62,RU,1613798234
Costineşti,43.95,28.6333,32.0,93,90,5.75,RO,1613798235
Pevek,69.7008,170.3133,-25.53,86,0,3.94,RU,1613797913
Mahon,39.8885,4.2658,51.8,87,75,5.75,ES,1613798244
Moose Factory,51.2585,-80.6094,10.4,85,90,3.44,CA,1613798250
Antofagasta,-23.65,-70.4,62.6,88,0,5.75,CL,1613798251
Hong Kong,22.2855,114.1577,73.0,61,67,1.01,HK,1613798081
Sept-Îles,50.2001,-66.3821,8.01,66,20,8.05,CA,1613798108
Fairbanks,64.8378,-147.7164,-16.01,80,100,1.1,US,1613798014
Nanding,36.7483,118.0558,75.0,12,20,3.0,CN,1613798252
Köping,59.514,15.9926,37.0,100,90,8.05,SE,1613798255
Nome,64.5011,-165.4064,-13.0,77,1,5.75,US,1613798256
Kidal,18.4411,1.4078,64.49,22,57,11.36,ML,1613798259
Grindavik,63.8424,-22.4338,33.8,80,0,12.66,IS,1613798266
Erzin,36.9559,36.2,39.99,55,0,7.0,TR,1613798266
Hay River,60.8156,-115.7999,10.4,79,24,4.61,CA,1613798148
Sola,-13.8833,167.55,84.34,75,88,9.33,VU,1613798266
Chui,-33.6971,-53.4616,64.09,87,15,6.33,UY,1613797902
Una,20.8167,71.0333,83.8,33,2,12.75,IN,1613798266
Yumen,40.2833,97.2,50.72,29,85,19.64,CN,1613798273
Arona,28.0996,-16.681,61.0,77,0,10.36,ES,1613798273
Muhafazat Lahij,13.1667,44.5833,69.96,79,98,4.88,YE,1613798273
Dolinsk,47.35,142.8,23.0,86,40,13.42,RU,1613798276
Atar,20.5169,-13.0499,63.64,25,0,7.96,MR,1613798279
Yangi Marg`ilon,40.4272,71.7189,44.6,61,75,6.91,UZ,1613798279
Vitim,59.4511,112.5578,-6.72,85,2,4.99,RU,1613798280
Naranjal,-2.6667,-79.6167,79.0,73,75,5.75,EC,1613798280
Bengkulu,-3.8004,102.2655,88.81,57,41,6.89,ID,1613797761
Bamnet Narong,15.4992,101.6897,82.6,30,0,14.63,TH,1613798280
Yaring,6.8662,101.3689,84.2,65,20,12.66,TH,1613798280
Sitka,57.0531,-135.33,33.8,86,90,17.27,US,1613797774
Bethel,41.3712,-73.414,30.2,80,90,4.61,US,1613798280
Hasaki,35.7333,140.8333,61.0,36,20,16.11,JP,1613798280
Klaksvík,62.2266,-6.589,44.6,93,90,18.41,FO,1613797718
Sobolevo,54.4299,31.8996,1.8,93,97,6.08,RU,1613798284
Khani,41.9563,42.9566,35.6,100,90,2.3,GE,1613798287
Codrington,-38.2667,141.9667,68.27,68,80,12.3,AU,1613798068
Talnakh,69.4865,88.3972,-29.13,72,12,3.74,RU,1613797696
Saint Paul Harbor,57.79,-152.4072,26.6,43,1,3.44,US,1613798293
Popondetta,-8.7537,148.2534,88.43,61,19,5.35,PG,1613798293
Mossamedes,-15.1961,12.1522,69.64,78,100,8.3,AO,1613798293
Bureya,49.8133,129.8131,8.74,93,100,10.36,RU,1613798297
Sioux Lookout,50.1001,-91.917,-5.8,77,1,4.61,CA,1613798297
Narsaq,60.9167,-46.05,21.2,73,75,4.61,GL,1613798300
Rocha,-34.4833,-54.3333,59.65,83,6,3.6,UY,1613798300
Khovd,48.0056,91.6419,45.28,48,0,13.29,MN,1613798303
Ranong,9.9658,98.6348,89.6,51,40,11.5,TH,1613798306
Brae,60.3964,-1.353,46.4,87,100,11.5,GB,1613798306
Puerto Escondido,15.85,-97.0667,75.2,88,1,3.44,MX,1613798313
Lena,43.1,-5.7333,59.0,51,0,4.61,ES,1613798313
San Vicente,-26.6167,-54.1333,60.4,99,0,3.11,AR,1613798313
Caravelas,-17.7125,-39.2481,78.01,87,100,9.75,BR,1613798313
Saint George,37.1041,-113.5841,46.99,24,1,4.61,US,1613797614
Mar del Plata,-38.0023,-57.5575,57.0,82,0,8.05,AR,1613797895
Port Blair,11.6667,92.75,86.0,66,40,13.8,IN,1613798319
Mahébourg,-20.4081,57.7,84.2,74,40,11.5,MU,1613798204
Zabid,14.1951,43.3152,75.38,79,52,3.4,YE,1613798323
Cabo San Lucas,22.8909,-109.9124,63.0,65,0,3.0,MX,1613798060
Ginda,30.6945,78.4932,66.2,55,0,4.83,IN,1613797906
Ponta do Sol,32.6667,-17.1,62.01,90,100,11.99,PT,1613798326
Sinnamary,5.3833,-52.95,76.57,82,94,10.76,GF,1613798327
Kanye,-24.9667,25.3327,65.53,36,0,5.21,BW,1613798083
Hithadhoo,-0.6,73.0833,83.23,74,80,10.45,MV,1613798330
Avarua,-21.2078,-159.775,77.0,83,40,5.75,CK,1613798114
Tateyama,34.9833,139.8667,62.01,47,20,28.77,JP,1613798333
Neiafu,-18.65,-173.9833,77.0,83,75,4.61,TO,1613798333
Bubaque,11.2833,-15.8333,77.85,68,95,13.51,GW,1613798340
Aras,42.5617,-2.356,48.99,76,0,14.97,ES,1613798340
Augustów,53.8432,22.9798,33.28,97,100,7.31,PL,1613798347
Anadyr,64.75,177.4833,-27.4,68,20,8.95,RU,1613798351
Vuktyl,63.8567,57.3094,-25.37,86,98,3.36,RU,1613798351
Chara,56.9064,118.2631,-11.79,80,23,0.87,RU,1613798357
Atakpamé,7.5333,1.1333,71.4,42,11,1.5,TG,1613798361
Esperance,-33.8667,121.9,75.2,46,0,11.5,AU,1613797771
Emerald,-23.5333,148.1667,93.2,33,40,5.75,AU,1613797700
Katsuura,35.1333,140.3,62.01,38,0,11.01,JP,1613798245
Port Elizabeth,-33.918,25.5701,69.8,83,40,20.71,ZA,1613798361
Clyde River,70.4692,-68.5914,-23.8,62,75,9.22,CA,1613797857
Boundiali,9.5217,-6.4869,70.36,22,9,1.59,CI,1613798361
Rādhanpur,23.8333,71.6,82.83,15,44,13.73,IN,1613798365
Nanortalik,60.1432,-45.2371,19.17,91,100,12.57,GL,1613798371
Yatou,37.15,122.3833,53.8,43,16,11.72,CN,1613798378
Leshukonskoye,64.8989,45.7622,-28.16,85,44,3.98,RU,1613798381
Teluk Nibung,3.001,99.8164,86.41,57,76,2.28,ID,1613798381
Fort Nelson,58.8053,-122.7002,24.8,74,75,3.44,CA,1613798381
Luwuk,-0.9516,122.7875,91.11,48,100,1.1,ID,1613798382
Souillac,-20.5167,57.5167,84.2,74,40,11.5,MU,1613798382
Fes,34.0372,-4.9998,46.4,71,0,10.36,MA,1613798382
Eucaliptus,-17.5833,-67.5167,50.49,69,100,7.05,BO,1613798382
Yerbogachën,61.2767,108.0108,-18.09,85,22,6.44,RU,1613798382
Constitución,-35.3333,-72.4167,59.23,52,0,5.06,CL,1613798382
Kavieng,-2.5744,150.7967,84.18,76,12,10.51,PG,1613798386
Sungai Penuh,-2.0833,101.3833,71.83,81,90,2.01,ID,1613798392
Masuguru,-11.3667,38.4167,75.24,87,100,1.66,TZ,1613798392
Soma,39.1855,27.6094,35.6,93,75,4.07,TR,1613798392
Traverse City,44.7631,-85.6206,23.0,86,90,2.64,US,1613798267
Port Hawkesbury,45.6169,-61.3485,18.0,79,90,6.91,CA,1613798396
Newburg,38.1601,-85.6597,19.4,63,20,4.61,US,1613798222
Vila,42.0304,-8.1588,54.0,74,100,25.99,PT,1613798406
Ketchikan,55.3422,-131.6461,39.2,87,20,5.75,US,1613798408
College,64.8569,-147.8028,-16.01,63,100,1.16,US,1613798417
Avera,33.194,-82.5271,37.4,72,1,8.05,US,1613798417
Lavumisa,-27.31,31.892,73.4,88,100,3.44,SZ,1613798417
Lesnikovo,55.2822,65.3175,-1.28,92,99,9.01,RU,1613798428
Mwinilunga,-11.7358,24.4293,63.79,96,100,6.38,ZM,1613798428
Mbigou,-1.9005,11.906,66.58,98,100,1.72,GA,1613798317
Ngunguru,-35.6167,174.5,67.86,68,0,5.57,NZ,1613798437
Kiunga,-6.1219,141.2906,96.31,42,60,4.68,PG,1613798441
Durazno,-33.4131,-56.5006,61.41,71,0,3.29,UY,1613798447
Ust'-Kulom,61.6864,53.6902,-9.85,90,90,0.56,RU,1613798454
